"sample_id","subclass_label","Kcnc1","Kcnd1","Kcnd2","Kcnd3","Kcnab1","Kcnip1","Kcnip2","Hcn1","Hcn2","Hcn3","Cacna1g","Scn1a","Scn3a","Scn8a"
"LS-15090_S55_E1-50","L6 CT",0,0,6.41328133573071,2.87697065511585,0,0,0,6.06109047142979,4.40544843565732,0,0,7.06896371969114,6.11011086303762,6.41328133573071
"LS-15090_S56_E1-50","L4",6.28229761930727,0,7.86784961007903,5.24865676222839,7.45630454411706,0,5.01931972041075,0,0,3.83501842945469,0.764240591772455,8.16679097031425,7.65936094076958,8.82531583654011
"LS-15090_S57_E1-50","L6 IT",2.19225671064362,0,4.6999617127707,0,5.17420458451532,0,4.66654948073946,4.09304388228727,0,0,4.97024093501094,6.38732100568856,6.21313458766591,7.44422484589592
"LS-15090_S58_E1-50","L6 IT",6.09344133732486,0,6.06610654806193,4.42660725748286,3.22190782562148,0,1.19002631693485,6.43002330680261,1.54713074055791,0,3.00874319563075,7.1429424146013,6.24739189818323,7.92989355826259
"LS-15090_S59_E1-50","L6 IT",5.18765658014073,0,6.15496861454857,7.68703094531572,3.95957047765747,0,0,5.21249702551728,3.83713054897602,0,7.30929000953892,0,5.82526631667129,8.19683731891322
"LS-15090_S60_E1-50","L6 IT",5.34395090019962,0,6.34817132220108,1.79740956205102,5.18119655912508,0,0,6.30364550136699,3.27289568461393,0,0,0,0.695093044985649,7.2125629678165
"LS-15090_S61_E1-50","L6 CT",5.03133195879655,0.731591775688849,6.21552688590093,0,0,0,0,0,2.49141469433642,0,0,5.85300836244035,4.37948955518822,7.82158469003951
"LS-15090_S62_E1-50","L6 IT",2.89673252217866,0,5.02904480666856,0,6.74266202743846,0,0,4.50377066811945,3.66931083786123,0,5.1766225553261,7.09783258163872,6.29220256956953,6.4648750718426
"LS-15090_S63_E1-50","L6 IT",6.2383341775298,0,4.84741095039638,5.14126728305735,3.68086562599695,0,4.69109316375074,5.46468653100849,1.4718229933803,0,5.4255290605345,0,0,6.1083710111526
"LS-15090_S64_E1-50","L6 CT",4.52836883339184,0,7.02852195029747,3.72250047746512,0,0,5.71989798064721,7.0539758035487,5.51521063245387,0,0,7.06026971051433,4.49158335161986,6.87988273305213
"LS-15090_S65_E1-50","L6 IT",5.72086009120339,0,4.26036327635342,5.40200307143998,8.30812028859671,0,6.9122336366629,0,4.65645704083326,0,2.10521996288907,5.04113157564209,6.48575954446685,7.70401063223828
"LS-15090_S67_E1-50","L6 IT",6.18247673817977,0,4.46191690531996,4.55708168590058,6.07938058749281,0,5.63190759699284,5.44548722433161,5.71679949748983,0,4.97980087096459,5.21198658872076,6.2120217410752,6.74404620305493
"LS-15090_S68_E1-50","L6 IT",3.87749725000453,0,5.70704804117699,0,7.13974287938959,0,2.01574204719821,6.45533919963854,4.37748846590749,0,6.80212206483179,2.33871352960239,5.26833149480695,7.24481399179728
"LS-15090_S69_E1-50","L6 CT",0,0,6.6176252006627,5.8732598027821,0,0,0,5.86087564471596,4.17270690792802,0,3.5262514556474,6.65396779461367,5.78425159588782,7.4375566006899
"LS-15090_S70_E1-50","L6 IT",5.96828982370037,0,4.99115080220718,5.42269972152513,5.73788527349424,0,6.02398680792857,5.54196057942236,2.40941936779351,0,6.48730046086258,6.25100966870186,4.68051877034993,8.02101482849037
"LS-15090_S71_E1-50","L6 IT",0,0,4.27454583959041,6.1686220343809,6.37239635907743,0,0,5.99995985609576,5.31076979854887,0,5.27425128710644,0,2.69076094779065,6.89554080692368
"LS-15090_S72_E1-50","L6 IT",5.22396761735264,0,3.37421751160663,6.98477210259471,7.92447402512507,0,3.21207823107038,0,0,0,6.18281124842718,2.10659555153532,5.93244879013798,7.90470239540224
"LS-15090_S73_E1-50","L6 IT",4.79457971070333,0,6.52926713468058,4.87122667772173,7.35348223274659,0,5.28014841350297,5.18326224406556,2.47066389063471,0,3.87075570576297,2.47066389063471,3.18212387080888,7.49342028385302
"LS-15090_S74_E1-50","L6 IT",5.33459849203089,0,6.51673145935731,7.42532822888915,7.44777574165188,0,5.73581368846345,4.6891696057084,1.65824360795668,0,5.3726389217446,0,6.11817632413682,5.66093336449013
